rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-131.41036925,96,-4.04229736328125,0.8392517566680908,1017,1118,0.7375020980834961,11,4,-22.269805908203125,279.5,0.0003,,
-74.9452945,94,-4.982616424560547,2.041405200958252,1265,1366,0.6851127743721008,14,8,-25.641159057617188,170.75,0.0003,,
-101.14159208333335,91,-9.580362319946289,2.605660915374756,2545,2646,0.47011956572532654,28,12,-34.93885803222656,220.5,0.0003,,
-79.665624125,91,-10.108070373535156,3.0801377296447754,2716,2817,0.4472167193889618,30,16,-35.26197814941406,176.0625,0.0003,,
-70.37245035,91,-10.917184829711914,4.82961368560791,3003,3104,0.4115086793899536,33,20,-37.120567321777344,155.2,0.0003,,
-84.050627125,90,-14.161134719848633,3.7921271324157715,4250,4351,0.2878060042858124,48,24,-38.777557373046875,181.29166666666666,0.0003,,
,,-15.363862991333008,5.101390838623047,4899,5000,0.23952187597751617,,,-37.89078140258789,,0.0003,330.5890148985189,926.2
-113.78268592857141,74,-17.910940170288086,4.314210414886475,6286,6387,0.1620876044034958,86,28,-36.588279724121094,228.10714285714286,0.0003,,
-105.79841174999999,74,-18.650259017944336,4.8842878341674805,6771,6872,0.1414816528558731,92,32,-35.638404846191406,214.75,0.0003,,
-112.14409124999999,76,-20.009296417236328,3.3781604766845703,8151,8252,0.09667718410491943,108,36,-31.285316467285156,229.22222222222223,0.0003,,
-113.74363127500001,77,-20.861604690551758,2.9619598388671875,9341,9442,0.06975336372852325,122,40,-28.399885177612305,236.05,0.0003,,
,,-19.4964599609375,3.242521047592163,9899,10000,0.05996505916118622,,,-26.096546173095703,,0.0003,-34.40942626352844,435.6
-110.39664711363638,73,-20.62961196899414,2.885338544845581,9925,10026,0.05955132842063904,135,44,-26.536691665649414,227.86363636363637,0.0003,,
-107.3764618125,74,-17.228607177734375,2.2804760932922363,11138,11239,0.04324832931160927,149,48,-22.847902297973633,234.14583333333334,0.0003,,
-99.79992805769231,76,-16.076370239257812,2.1779956817626953,12454,12555,0.031161293387413025,164,52,-21.152488708496094,241.44230769230768,0.0003,,
-91.93489469642859,77,-11.550691604614258,1.9223229885101318,14463,14564,0.019388731569051743,187,56,-17.664466857910156,260.07142857142856,0.0003,,
,,-9.802523612976074,2.0448131561279297,14899,15000,0.01764226332306862,,,-16.93329429626465,,0.0003,291.9424575117417,758.5
-77.74810996666666,74,-5.720084190368652,1.8210279941558838,16407,16508,0.013424579054117203,221,60,-16.101699829101562,275.1333333333333,0.0003,,
,,-0.5002083778381348,1.6131526231765747,19899,20000,0.012080801650881767,,,-16.889196395874023,,0.0003,660.18856126779,910.3
-42.36792051562501,72,0.9344856142997742,1.3959870338439941,20407,20508,0.012566360644996166,281,64,-17.007856369018555,320.4375,0.0003,,
-0.7212411911764806,75,1.3784412145614624,0.9156016111373901,24407,24508,0.01540625374764204,324,68,-20.738203048706055,360.4117647058824,0.0003,,
,,0.40955308079719543,1.0127756595611572,24899,25000,0.0158042311668396,,,-21.147708892822266,,0.0003,837.7069518185687,1000.0
44.28763363888888,74,-0.35780856013298035,1.2248857021331787,28407,28508,0.018399331718683243,382,72,-26.93950843811035,395.94444444444446,0.0003,,
,,0.9894431829452515,0.9518676996231079,29899,30000,0.01877686381340027,,,-28.395910263061523,,0.0003,855.4894298065453,1000.0
83.57526023684208,73,0.2082183063030243,1.016495704650879,32407,32508,0.01994197629392147,440,76,-31.82082748413086,427.7368421052632,0.0003,,
,,0.7545595169067383,1.0020431280136108,34899,35000,0.02092396840453148,,,-35.551841735839844,,0.0003,650.9726931981728,857.0
117.88261474999999,72,-0.0997610092163086,0.9370816946029663,36407,36508,0.021760504692792892,500,80,-36.15913009643555,456.35,0.0003,,
119.14323375,73,2.3306984901428223,1.330875039100647,38724,38825,0.021878516301512718,527,84,-38.948673248291016,462.20238095238096,0.0003,,
,,-0.1412060558795929,1.30525541305542,39899,40000,0.021889546886086464,,,-40.19725036621094,,0.0003,646.5270846241503,915.2
131.7338858068182,72,-0.18972983956336975,1.1852974891662598,40896,40997,0.021979443728923798,565,88,-40.67815399169922,465.875,0.0003,,
152.7886066521739,73,-0.2027570605278015,1.1115509271621704,44896,44997,0.021869197487831116,612,92,-42.67572021484375,489.0978260869565,0.0003,,
,,-0.5659154653549194,1.1780734062194824,44899,45000,0.021861471235752106,,,-41.675453186035156,,0.0003,887.1502622746397,1000.0
175.59649442708334,72,-0.15978235006332397,0.8543661832809448,48896,48997,0.021918896585702896,673,96,-44.725807189941406,510.3854166666667,0.0003,,
,,-0.6843939423561096,0.9008869528770447,49899,50000,0.02217787690460682,,,-44.54389572143555,,0.0003,892.4361533260904,1000.0
202.46647515,72,1.2954211235046387,0.8227554559707642,52896,52997,0.023120993748307228,734,100,-46.95160675048828,529.97,0.0003,,
,,-0.5795557498931885,0.7672479152679443,54899,55000,0.023111630231142044,,,-46.96238327026367,,0.0003,913.1578368175309,1000.0
242.08895639,71,-0.1151224672794342,0.8079954385757446,56896,56997,0.022666869685053825,795,104,-49.72572326660156,558.79,0.0003,,
,,-1.388108491897583,0.9987513422966003,59899,60000,0.02319442667067051,,,-51.02122497558594,,0.0003,807.7620634806342,1000.0
266.65892787,70,0.23264595866203308,0.8735742568969727,59910,60011,0.023175636306405067,845,108,-51.203277587890625,586.45,0.0003,,
306.88734047,71,-0.45805540680885315,0.9245301485061646,63910,64011,0.023226218298077583,890,112,-52.86043930053711,613.65,0.0003,,
,,-0.5782766342163086,0.63646000623703,64899,65000,0.022692425176501274,,,-53.15949630737305,,0.0003,740.2277743263955,1000.0
329.2595807099999,71,0.1324138045310974,0.811550498008728,67910,68011,0.022528938949108124,951,116,-54.12454605102539,651.94,0.0003,,
,,1.6137890815734863,0.9488041400909424,69899,70000,0.022334445267915726,,,-54.24721908569336,,0.0003,919.7523195711022,1000.0
347.4988489,70,-1.1537185907363892,0.7223780155181885,70051,70152,0.022471925243735313,991,120,-54.820465087890625,670.48,0.0003,,
388.15197952999995,71,0.3174991309642792,0.8135112524032593,74051,74152,0.023161496967077255,1035,124,-55.69624328613281,698.01,0.0003,,
,,1.048511266708374,0.8621028065681458,74899,75000,0.022684067487716675,,,-56.38642120361328,,0.0003,753.0422058346303,907.0
425.85810795,71,-0.7239488959312439,0.8614399433135986,77244,77345,0.022915367037057877,1084,128,-55.990509033203125,709.58,0.0003,,
,,-0.4278314709663391,0.9031343460083008,79899,80000,0.02238190732896328,,,-56.361351013183594,,0.0003,898.0664871625777,1000.0
461.0177534,71,0.604849100112915,0.7819228768348694,81244,81345,0.02246592380106449,1142,132,-57.864593505859375,744.73,0.0003,,
,,-0.10773082822561264,0.6549712419509888,84899,85000,0.021870167925953865,,,-59.445892333984375,,0.0003,829.6160875544417,904.0
500.16495449,71,0.44477546215057373,0.6439149975776672,85244,85345,0.021972190588712692,1199,136,-58.713008880615234,770.93,0.0003,,
528.8825643700001,71,0.20038291811943054,0.703272819519043,88257,88358,0.02216155454516411,1233,140,-58.58842468261719,789.16,0.0003,,
,,1.0742011070251465,0.6267315149307251,89899,90000,0.021626342087984085,,,-59.26774215698242,,0.0003,904.4786020362168,1000.0
566.4367721599999,71,0.07747727632522583,0.6434406042098999,92257,92358,0.021709999069571495,1291,144,-59.487274169921875,823.32,0.0003,,
,,-0.46094846725463867,0.6663629412651062,94899,95000,0.020974991843104362,,,-60.62300109863281,,0.0003,906.6881344309775,1000.0
594.5766939199999,71,-0.5095753073692322,0.5939231514930725,95267,95368,0.02158488892018795,1338,148,-60.577972412109375,841.29,0.0003,,
620.58719882,71,0.7728513479232788,0.5853438973426819,98310,98411,0.02115735411643982,1372,152,-61.86969757080078,858.56,0.0003,,
,,-1.215047836303711,0.6568249464035034,99899,100000,0.02140471339225769,,,-62.182533264160156,,0.0003,592.3779611614998,727.7
652.5895625600001,71,1.2032980918884277,0.8169870376586914,102310,102411,0.02081264555454254,1425,156,-62.052677154541016,878.47,0.0003,,
,,-0.0986429899930954,0.7884383201599121,104899,105000,0.021370315924286842,,,-62.53594207763672,,0.0003,811.2836714126461,1000.0
670.58570691,71,0.22841188311576843,0.6124516129493713,106097,106198,0.020285559818148613,1481,160,-62.42677307128906,896.9,0.0003,,
660.09647922,71,0.11482657492160797,0.5449534058570862,107212,107313,0.020768603309988976,1493,164,-62.99661636352539,868.05,0.0003,,
,,-0.05542370676994324,0.9967851638793945,109899,110000,0.020331261679530144,,,-63.059295654296875,,0.0003,520.4481196748868,934.7
658.77558223,71,-0.603791356086731,0.596773624420166,110229,110330,0.020680228248238564,1541,168,-62.60608673095703,858.22,0.0003,,
660.2838532000001,72,-0.20386797189712524,0.8301650285720825,114229,114330,0.019832812249660492,1586,172,-62.85166549682617,858.22,0.0003,,
,,0.7829573154449463,0.4819222092628479,114899,115000,0.020032517611980438,,,-63.08753204345703,,0.0003,890.7053310463671,1000.0
663.5903285500001,71,0.22616401314735413,0.42318636178970337,118229,118330,0.019782867282629013,1645,176,-64.01002502441406,858.22,0.0003,,
,,-1.6245992183685303,0.7672204971313477,119899,120000,0.01919371820986271,,,-63.0233268737793,,0.0003,804.0135717087891,902.1
667.6007314200001,71,-0.1267806589603424,0.5932711958885193,122229,122330,0.01951170340180397,1701,180,-63.70183563232422,858.22,0.0003,,
,,1.280361294746399,0.6333370208740234,124899,125000,0.019252516329288483,,,-64.65544128417969,,0.0003,755.4788927785121,908.8
696.1321546300001,71,-0.031386688351631165,0.660831093788147,126229,126330,0.01973404921591282,1758,184,-64.21055603027344,875.05,0.0003,,
,,0.5567852258682251,0.5639387369155884,129899,130000,0.019580060616135597,,,-65.88033294677734,,0.0003,874.7011677376926,1000.0
714.94312928,71,0.43537819385528564,0.5134872794151306,130229,130330,0.01917974278330803,1817,188,-65.59750366210938,893.33,0.0003,,
715.4744592500001,72,0.32544341683387756,0.6303576231002808,134229,134330,0.018693994730710983,1861,192,-65.85552978515625,893.33,0.0003,,
,,0.8457895517349243,0.7758325338363647,134899,135000,0.018181953579187393,,,-65.16313934326172,,0.0003,905.7623308898416,1000.0
721.21122265,72,-0.9267851114273071,0.6238316297531128,138229,138330,0.018831759691238403,1918,196,-65.39019775390625,893.33,0.0003,,
,,0.8370339274406433,0.3378714323043823,139899,140000,0.018397953361272812,,,-66.08890533447266,,0.0003,902.833232218986,1000.0
721.79587671,71,0.9354633092880249,0.5744632482528687,142229,142330,0.018510857596993446,1978,200,-65.76380157470703,893.33,0.0003,,
,,-1.3390674591064453,0.4900146722793579,144899,145000,0.018902618438005447,,,-66.78565216064453,,0.0003,917.2136253900826,1000.0
722.0885858000001,71,-0.47524821758270264,0.5351738929748535,146229,146330,0.019040348008275032,2039,204,-66.43043518066406,893.33,0.0003,,
724.3081199900001,72,0.48288825154304504,0.9332154989242554,149260,149361,0.018395278602838516,2072,208,-66.45765686035156,893.5,0.0003,,
,,-0.6388764977455139,0.4206838607788086,149899,150000,0.019016729667782784,,,-66.77418518066406,,0.0003,907.6304989901255,1000.0
716.6671387700001,71,-0.0770263522863388,0.5368762016296387,152310,152411,0.01845136098563671,2118,212,-66.47827911376953,884.0,0.0003,,
,,-0.007851436734199524,0.3958117961883545,154899,155000,0.017793312668800354,,,-67.45203399658203,,0.0003,917.8422636337316,1000.0
723.4109889199999,71,0.9307935237884521,0.5571498870849609,156310,156411,0.01850583776831627,2177,216,-66.86723327636719,884.0,0.0003,,
,,-0.4486795961856842,0.5186498165130615,159899,160000,0.01732996292412281,,,-67.21224975585938,,0.0003,914.9984300025739,1000.0
741.0864853400001,71,0.03080180287361145,0.3817662000656128,160310,160411,0.017263947054743767,2233,220,-67.41902923583984,902.59,0.0003,,
741.0397145100001,72,-0.1907767802476883,0.6781471967697144,164310,164411,0.018409959971904755,2279,224,-67.6343994140625,902.59,0.0003,,
,,0.8370981216430664,0.512847363948822,164899,165000,0.017624150961637497,,,-67.23768615722656,,0.0003,922.6689067552797,1000.0
750.2488063100001,72,-0.5614070892333984,0.4370627701282501,168310,168411,0.01810789294540882,2339,228,-68.23220825195312,910.66,0.0003,,
,,0.34972208738327026,0.33987119793891907,169899,170000,0.017175063490867615,,,-68.6998062133789,,0.0003,920.4071478826925,1000.0
743.2960694200001,71,1.0930423736572266,0.3864292502403259,171337,171438,0.01793610118329525,2385,232,-67.64594268798828,900.93,0.0003,,
736.9497923399999,72,0.008243530988693237,0.4953519403934479,174441,174542,0.017441637814044952,2418,236,-68.444580078125,891.97,0.0003,,
,,0.3021999001502991,0.6483315229415894,174899,175000,0.017068959772586823,,,-69.02816772460938,,0.0003,800.1781216877513,903.9
748.0756906199999,72,0.30756086111068726,0.7007638216018677,178441,178542,0.017440065741539,2476,240,-68.37803649902344,901.84,0.0003,,
,,-0.7046521902084351,0.5861326456069946,179899,180000,0.01760047674179077,,,-68.57262420654297,,0.0003,831.6168127426703,903.0
748.70459629,72,0.23576343059539795,0.6625525951385498,182441,182542,0.016684604808688164,2533,244,-68.48374938964844,901.84,0.0003,,
,,1.4663456678390503,0.39782512187957764,184899,185000,0.01711409166455269,,,-70.15498352050781,,0.0003,835.6085997937713,1000.0
748.5891646500002,71,-0.09028889238834381,0.25369030237197876,186441,186542,0.016752054914832115,2591,248,-70.21383666992188,911.74,0.0003,,
741.2720357900001,72,-0.41996267437934875,0.8043715953826904,188571,188672,0.016584036871790886,2615,252,-69.54403686523438,902.61,0.0003,,
,,-0.38221922516822815,0.49296656250953674,189899,190000,0.016565686091780663,,,-69.84455108642578,,0.0003,731.1658168694514,905.2
735.45872714,72,-0.5085214376449585,0.3675400912761688,191657,191758,0.016622276976704597,2662,256,-70.33341979980469,893.47,0.0003,,
,,-0.13332273066043854,0.4050268530845642,194899,195000,0.017251940444111824,,,-69.90985107421875,,0.0003,841.232921030838,901.8
747.27020573,71,-0.2388235479593277,0.4200269281864166,195657,195758,0.016655217856168747,2720,260,-69.52503967285156,895.6,0.0003,,
772.9160539700001,72,0.48420777916908264,0.5149276852607727,199657,199758,0.01577644608914852,2766,264,-70.21945190429688,924.45,0.0003,,
,,0.06901350617408752,1.0906304121017456,199899,200000,0.01683071255683899,,,-70.0275650024414,,0.0003,917.684814994107,1000.0
782.8655136699999,72,-0.13333247601985931,0.6130791902542114,203657,203758,0.016309985890984535,2828,268,-69.52796173095703,934.28,0.0003,,
,,-0.10179302096366882,0.5089210271835327,204899,205000,0.015817144885659218,,,-69.96427917480469,,0.0003,927.9614784431469,1000.0
783.6810694000003,71,-0.19755201041698456,0.33073365688323975,207657,207758,0.01670205220580101,2889,272,-70.6708984375,934.28,0.0003,,
,,-0.4654110074043274,0.37552833557128906,209899,210000,0.01699436455965042,,,-71.53712463378906,,0.0003,831.2668825817324,902.5
783.7244500699999,71,0.1686304360628128,0.400773823261261,211657,211758,0.016380317509174347,2950,276,-70.73026275634766,934.28,0.0003,,
,,-0.8446295261383057,0.3557421565055847,214899,215000,0.016240496188402176,,,-71.35601043701172,,0.0003,812.6200952576007,903.3
784.0894084099999,71,0.4712308645248413,0.3359178304672241,215657,215758,0.015518708154559135,3012,280,-70.64212036132812,934.28,0.0003,,
784.7525138399999,71,0.18851740658283234,0.5150406360626221,219657,219758,0.01588251069188118,3060,284,-70.90556335449219,934.28,0.0003,,
,,0.2526540458202362,0.348288893699646,219899,220000,0.016217784956097603,,,-71.88406372070312,,0.0003,844.1808855330571,903.3
785.4276519399998,71,-0.01837638020515442,0.31686216592788696,223657,223758,0.015764927491545677,3123,288,-71.9784164428711,934.28,0.0003,,
,,1.2589359283447266,0.7181081175804138,224899,225000,0.016028497368097305,,,-71.05655670166016,,0.0003,928.4786308318202,1000.0
795.2381005300001,71,-1.0612716674804688,0.3448077142238617,227657,227758,0.016168227419257164,3187,292,-72.09061431884766,934.28,0.0003,,
,,-1.0189579725265503,0.386867880821228,229899,230000,0.01643429324030876,,,-71.16268157958984,,0.0003,927.2072146832943,1000.0
796.4083203500002,71,0.5614364147186279,0.48543041944503784,231657,231758,0.0160828847438097,3249,296,-72.26095581054688,934.28,0.0003,,
,,-0.22722552716732025,0.30527785420417786,234899,235000,0.016345394775271416,,,-72.31219482421875,,0.0003,724.1590649353806,807.4
797.34472536,71,-1.24088454246521,0.38934585452079773,235657,235758,0.015851937234401703,3309,300,-72.19068908691406,934.28,0.0003,,
780.25041352,71,0.33083784580230713,0.38385307788848877,237804,237905,0.015076843090355396,3333,304,-72.41230773925781,915.75,0.0003,,
,,0.10058456659317017,0.3271723985671997,239899,240000,0.015345071442425251,,,-72.7928466796875,,0.0003,727.2307408560998,813.0
788.9136526500001,71,0.9911720752716064,0.4649929106235504,241804,241905,0.016559619456529617,3393,308,-72.14602661132812,925.44,0.0003,,
,,-0.3364487290382385,0.44672149419784546,244899,245000,0.015675222501158714,,,-73.51263427734375,,0.0003,724.4674234330189,916.5
788.7206402900001,71,0.0736541748046875,0.49147945642471313,245804,245905,0.016735615208745003,3453,312,-71.93815612792969,934.94,0.0003,,
795.4189067600001,71,-0.06968164443969727,0.6346577405929565,249804,249905,0.01676122657954693,3499,316,-71.95911407470703,934.94,0.0003,,
,,-0.7501254677772522,0.5047284960746765,249899,250000,0.016629435122013092,,,-72.73014068603516,,0.0003,895.249069900997,1000.0
796.0259255299998,71,0.6961762309074402,0.3494908809661865,253804,253905,0.015414382331073284,3561,320,-72.00115966796875,934.94,0.0003,,
,,-0.33721813559532166,0.5022687315940857,254899,255000,0.01644088514149189,,,-72.611083984375,,0.0003,818.082628027047,901.8
796.76868527,71,1.6120940446853638,0.6833778023719788,257804,257905,0.015798315405845642,3619,324,-72.56838989257812,934.94,0.0003,,
,,0.7764812707901001,0.5249230861663818,259899,260000,0.016234030947089195,,,-73.36154174804688,,0.0003,935.7437258917838,1000.0
796.8509354499998,71,-0.3077508509159088,0.48938214778900146,261804,261905,0.01619146578013897,3677,328,-73.10577392578125,934.94,0.0003,,
,,-0.9858903884887695,0.5015898942947388,264899,265000,0.016163509339094162,,,-72.61753845214844,,0.0003,824.4837510248647,901.3
805.90162155,71,0.18091708421707153,0.6925308704376221,265804,265905,0.0156423170119524,3735,332,-73.15632629394531,944.67,0.0003,,
798.7960993199999,71,0.6299608945846558,1.112540364265442,269804,269905,0.016520680859684944,3781,336,-74.00148010253906,953.63,0.0003,,
,,-0.7430277466773987,1.3100478649139404,269899,270000,0.01643260009586811,,,-75.03094482421875,,0.0003,245.9253833944269,903.5
786.5052576800001,71,-0.9520432949066162,0.6823978424072266,272829,272930,0.016569556668400764,3829,340,-75.94245147705078,943.88,0.0003,,
,,-0.5478304624557495,1.225254774093628,274899,275000,0.015796823427081108,,,-74.12782287597656,,0.0003,520.3573550955145,822.9
769.6459059700002,71,0.43360769748687744,1.876431941986084,275448,275549,0.016886800527572632,3871,344,-76.36567687988281,930.07,0.0003,,
777.97328738,71,0.4532712697982788,0.8822762966156006,279448,279549,0.016872594133019447,3917,348,-74.60226440429688,930.07,0.0003,,
,,0.004262655973434448,1.226729393005371,279899,280000,0.016447236761450768,,,-73.57979583740234,,0.0003,658.6457153353774,1000.0
758.36834522,71,-0.7125576138496399,0.7106105089187622,282474,282575,0.01564610004425049,3967,352,-74.44786071777344,939.03,0.0003,,
733.56707126,71,0.9104176759719849,0.6983535289764404,284851,284952,0.015177791938185692,3994,356,-74.3561019897461,931.94,0.0003,,
,,1.4235762357711792,1.5466675758361816,284899,285000,0.015435255132615566,,,-75.81278991699219,,0.0003,375.9591807509951,859.1
710.7688228999999,71,-0.14989370107650757,0.8514424562454224,287882,287983,0.015640422701835632,4042,360,-75.27137756347656,922.25,0.0003,,
